"","LatDD","LonDD","Site","Coral_Diversity","X","transectID","TRANSECT.LENGTH","SpRich","Total_Diversity"
"1",16.67365,-62.1764,"1230",16,25,"1230_17",30,29,45
"2",16.67366,-62.17654,"MA038",13,55,"MA038_20",30,29,42
"3",16.67366,-62.17654,"MA038",13,54,"MA038_10",30,25,38
"4",16.67373,-62.16956,"MP070",15,72,"MP070_20",30,40,55
"9",16.67472,-62.17581,"1233",11,26,"1233_10",30,39,50
"10",16.67486,-62.16145,"WPT53",5,181,"WPT0053_5",30,34,39
"11",16.67486,-62.16145,"WPT53",5,180,"WPT0053_10",30,40,45
"12",16.6749,-62.168083,"MSA011",13,82,"MSA01139_3.9",30,28,41
"15",16.67545,-62.164967,"MSA094",8,110,"MSA094_20",30,2,10
"16",16.67545,-62.164967,"MSA094",8,111,"MSA094_7",30,28,36
"17",16.67552,-62.15949,"WPT057",13,185,"WPT0057_20",30,33,46
"18",16.67558,-62.16418,"MSA014",11,84,"MSA014_8",30,21,32
"19",16.67701,-62.15941,"00565 m",4,184,"WPT0056_5",30,18,22
"20",16.67701,-62.15941,"00565 m",4,183,"WPT0056_10",30,22,26
"21",16.67701,-62.15941,"0056",3,184,"WPT0056_5",30,18,21
"22",16.67701,-62.15941,"0056",3,183,"WPT0056_10",30,22,25
"23",16.67836,-62.15628,"MSA063",16,98,"MSA063_20",30,19,35
"24",16.67912,-62.15677,"MSA158",11,137,"MSA158_5",30,18,29
"25",16.68075,-62.15441,"WPT248",16,188,"WPT0248_20",30,40,56
"26",16.68075,-62.15441,"WPT248",16,189,"WPT0248_5",30,18,34
"27",16.68075,-62.15441,"WPT248",16,187,"WPT0248_10",30,30,46
"28",16.681567,-62.199633,"MSA103B",8,114,"MSA103b_5.1",30,28,36
"29",16.6826,-62.200533,"MSA093",1,108,"MSA093_12",30,4,5
"30",16.6826,-62.200533,"MSA093",1,109,"MSA093_4",30,13,14
"31",16.68425,-62.15192,"249 10m",7,191,"WPT0249_20",30,23,30
"32",16.68425,-62.15192,"249 10m",7,190,"WPT0249_10",30,27,34
"33",16.68425,-62.15192,"249 20 m",7,191,"WPT0249_20",30,23,30
"34",16.68425,-62.15192,"249 20 m",7,190,"WPT0249_10",30,27,34
"35",16.6859,-62.204433,"MSA183",2,148,"MSA183_2.3",30,15,17
"36",16.68668,-62.15049,"MSA150",10,133,"MSA150_10",30,16,26
"37",16.68735,-62.149517,"S03",13,167,"SO3_13",30,29,42
"38",16.68892,-62.14654,"MSA039",16,92,"MSA039_20",10,6,22
"39",16.68892,-62.14654,"MSA039",16,93,"MSA039_20",26.9,23,39
"40",16.691533,-62.1465,"S01",15,158,"S01_42",30,4,19
"41",16.691533,-62.1465,"S01",15,157,"S01_14",30,31,46
"42",16.69165,-62.147,"S02",8,160,"S02_7",30,22,30
"43",16.69165,-62.147,"S02",8,159,"S02_21",30,1,9
"44",16.692,-62.14342,"1115",18,10,"1115_20",30,14,32
"47",16.69495,-62.143933,"MSA162",16,139,"MSA162_12.4",30,37,53
"52",16.70458,-62.2234,"MA015",1,51,"MA015_20",30,18,19
"56",16.7098,-62.22629,"MSA086",1,106,"MSA086_10.2",30,8,9
"57",16.71035,-62.24096,"MSA 151",11,134,"MSA151_20",30,31,42
"59",16.71145,-62.23936,"187",9,197,"WPY0187_20",30,14,23
"61",16.71209,-62.24547,"1235",8,27,"1235_20.5",30,25,33
"62",16.71415,-62.24926,"1240",8,29,"1240_21",30,21,29
"65",16.71794,-62.23655,"1238",13,28,"1238_6.5",30,20,33
"68",16.72343,-62.24344,"1242",8,30,"1242_11.2",30,19,27
"69",16.72444,-62.24303,"MSA029",8,89,"MSA029_11.1",30,27,35
"70",16.73141,-62.23616,"MSA149",11,132,"MSA149_7",25,28,39
"71",16.73141,-62.23616,"MSA149",11,131,"MSA149_20",25,4,15
"72",16.73502,-62.23441,"MSA154",9,136,"MSA154_4",23,32,41
"75",16.74203,-62.23773,"FP03",4,42,"FP03_21",30,20,24
"76",16.74203,-62.23773,"FP03",4,43,"FP03_65",30,5,9
"77",16.74252,-62.23793,"175",2,36,"175_20",30,16,18
"78",16.74274,-62.23883,"MSA181",8,147,"MSA181_20",30,21,29
"80",16.743,-62.238,"FP11HB",11,161,"Sargassum Field_17.1",30,30,41
"81",16.743,-62.238,"SargassumForest",11,161,"Sargassum Field_17.1",30,30,41
"82",16.7434,-62.23771,"WPT171",5,35,"171_20",30,22,27
